ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,
55,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,
60,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,
65,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,
70,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,
75,0,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,
80,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,
85,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,
90,-1,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,
95,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,
100,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,
105,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,
110,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,
115,0,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,
120,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,
125,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,
130,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,-1,
135,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,
140,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,
145,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,
150,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,
155,-1,0,-1,0,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,
160,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,
165,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,
170,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,-1,
175,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,
180,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,
185,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,
190,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,0,-1,
195,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,
200,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,-1,
205,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,
210,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,
215,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,
220,-1,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,
225,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,
230,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0,
235,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,
240,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,
245,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,
250,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,
255,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,
260,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,
265,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,
270,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,
275,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,
280,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,
